_t1,inventoryNo,regionId,illustrationFileName,name,ability,notes,type,subType,regionName,size,rank,discordChannelUrl
,ID7,I,DOKKEBI_242,줄기사자,,"이 세상 가장 로맨틱한 존재인 꽃사자(OD9)의 변종. 이 도깨비 역시 깨숑과 뽀숑의 사운드가 뒤바뀌면서 변종 성장을 하게 되었다. 꽃잎을 뿌리는 꽃사자와 달리, 다리사이 가득 감겨있는 꽃의 줄기로 도깨비들의 육신을 찢는다.꽃사자로 착각하여 꽤나 많은 도깨비들이 신나게 들어갔다가 팔 다리 한쪽을 잃고 절뚝이며 걸어 나온다.",동물,변종,선래흘,대형,S,https://discord.com/channels/1283684660190249030/1284092764367360041
,ID8,I,DOKKEBI_243,너무다나무,,"도리스와 와리스(ID1)’처럼 과거에는 잘린 목이였으나 으시시에 머무르지 않고 흘러내려온 것들이다. 굴러내려오는 길에 으시시방에 기생하는 어둑시니 (JD3)와 엉키게 되면서 긴 목처럼 유연한 것이 목뒤에 붙어 생명력을 갖게 되었다. 보아하니 그들에게 엉켰다 하면 그 몸뚱아리를 숙주로 하여금 능력을 흡수하여 진화하는 모양이다. 이 지역을 탐험 한다면 함부로 어딘가에 기대어 쉬지말고, 항시 발 밑을 조심하라.",도깨비,변종(통굴),선래흘,중형,B,https://discord.com/channels/1283684660190249030/1284092788023103510
,ID9,I,DOKKEBI_244,삼몽령,,"‘선대 아홉 도깨비’ 중 하나인 ‘삼몽령’은 거대한 영의 집합체로, 멀리서 보면 세 개체의 귀신처럼 보인다. 이 세계의 대부분의 도깨비들은 삼몽령의 영이 한줌씩 떼어져 징가숑 타워의 빛과 만나면서 탄생하였다.",영혼,,해인경,초대형,SS,https://discord.com/channels/1283684660190249030/1284092808138850446
,ID10,I,DOKKEBI_245,잎피리와 잎피리피리와 잎피리피리피리,,"잎피리피리의 입안 속에 어떤 기생충을 키우게 되는데, 그 벌레가 커질수록 자신의 거동을 함께 밀어주고, 자신의 몫까지 내어 면역을 돕더라. 그렇게 그들은 벌레를 동료로 받아들여 셋이 함께 지내고 있다.",도깨비,유랑비,해인경,대형,A,https://discord.com/channels/1283684660190249030/1284092901449535548
,ID11,I,DOKKEBI_246,그래그리오 사형제,,"45년만에 갓 몸을 부여받은 4형제. 그 중 첫째는 눈이 높아 그렇게 힘들게 도달한 도깨비 시장에서도 몸을 고르지 못하였다. 고로 둘째 뒤에 붙어 령으로 따라다닌다.둘째는 그런 형때문에 령이 붙을수 있는 돌외형을 골라 불만이 가득하다. 첫째 형의 외형을 찾기 위해 여행중인 4형제, 첫째 형은 사실 첫눈에 반한 몸이 있다. 바로 그 악랄한 칠죄종의 교만한자... (HD9)…. 그를 본 순간부터 맘에드는 외형의 도깨비를 찾지 못했다. 4형제는 첫째형의 바람을 위해 그를 죽일 계획에 있다. 그를 죽이고 다시 도깨비 시장으로 돌아 가는 위험 천만한 모험을 계획중이다. 45년과는 다른 좌표와 세상이라 다시 찾아가는데 꽤나 어려움을 겪고있다.",도깨비,유랑비,해인경,"대형, 소형",D,https://discord.com/channels/1283684660190249030/1284092931984068639
,JD1,J,DOKKEBI_247,허수허수깨비,,"통상적으로 알고있는 허수깨비. 허수깨비분장으로 하여금 도깨비 월드를 탐험하려 했던 이름모를 유랑자. 허락된 7번째 밤을넘긴 날, 으시시성을 겨우 빠져나온 그의 분장은 무언가 낡고 헤져있다. 그의 목은 부러져, 영혼 참수대를 갈 수가 없으며, 목 아래 달랑이는 얼굴의 입을 빌어 알수없는 말들을 계속 되내인다. (hint) 낮밤낮밤낮밤낮밤낮밤낮밤낮밤… 그는 아직 으시시성의 환상 속에서 길을 헤메이는 것만 같다….",도깨비,?,으시시,?,A,https://discord.com/channels/1283684660190249030/1284093057016270890
,JD2,J,DOKKEBI_248,으시시,"- / 원만부의 키, 탕굴","도깨비들의 진지한 얼굴을 보고싶다면, 으시시성에 가겠노라 말하라. 그러면 도깨비들의 얼굴에 장난끼가 사라지는 것을 볼 수 있을것이다…... 으시시성으로 진입하는 방법 으시시성의 정문은 ‘어둑시니’로 인해 폐쇄 되었고, 들어갈 수 있는 두가지 갈래길이 있다고는 하는데, 첫번째 문 ‘ 깨슈타인의 거울’ 과 두번째 문은 칠죄종 지역의 **‘분노와 질투 사이’**에 위치해 있다고 한다. ‘깨슈타인의 거울’을 통해 으시시성에 진입하면 일어나는 일 각자의 피해의식이 생기기 전, 다들 행복했던 과거가 있지 않은가? 우리는 살다 보면 스스로의 두려움으로 부터 도망쳐 잘못된 선택을 하기 마련이다… 깨슈타인의 거울을 통해 으시시성에 들어가면, ‘순수했던 과거의 순간’에 여행자를 ‘잘못된 선택으로 하여금 생긴 스스로의 가장 큰 겁이자, 두려움. 아무리 애써봐도 바꿀 수 없는 그날의 선택의 귀로’ 앞으로 데려다 놓는다. 으시시성의 탐험자는 누구보다 선명하게 해야 할 일을 알고 있어야 하나, 행복한 과거의 환상에 갇혀 서서히 해야 할 일을 잊어가게 된다. 으시시성은 본질을 잊고 행복만을 만끽하는 탐험자의 정기를 빨아먹으며, 행복 회로속에 그들 스스로를 가두게 만든다. 으시시성이 보여주는 세상은 약간의 빈틈(계속 짖고 있는 성조기를 입은 강아지가 있다던지, 써리얼하고, 언케니한 구석)이 있어, 시뮬레이션을 알아 차릴 수 있다. 하지만 설령 잘못 구현된 시뮬레이션을 알아 차릴지라도, 너무나도 꿈만 같은 과거의 행복에 젖어 빠져나올 생각을 않으며, 서서히 생명을 잃게 만든다. 그 행복의 정점에 다르면, 마주하고있는 사랑하는 이의 손안에, 바로 그곳에…‘원만부의 키’가 있다 전해진다. ‘그때 왜 그런 선택을 했냐’고 묻는 사랑하는 이의 허를 찌르는 무서운 질문에, 거짓 없이 솔직히 마주한다면, 원만부의 키를 건내 받게 된다. 탐험자는 키를 잡는 순간 이곳에 들어온 궁극적인 목표를 번뜩이며 떠올리게 되며, 행복의 잔상들은 진동과 함께 ‘어제’로 뭉개지고, 새카만 검은 공간에 저-멀리 빛인지 거울인지 모를 네모난 문 하나가 있는 공간에 다다르게 된다. 문을 향해 걸어갈 수록 윽..걸! 소리가 저 멀리 들려오고, 이 소리를 통해 탐험자는 현실에 도달했다는 확신을 하게 된다. 당신의 행복 회로 속에 있던 사랑하는 인물들은, 이 칠흙같은 어둠속에서 절규하며, 당신을 설득하고 울며불며 매달릴 것이다. 이 처절한 마지막 고통의 관문을 극복하고 나온다면, 어느샌가 어둑시니가 지키고 있는 으시시성 정문 앞에 서 있을 것이다. ‘분노와 질투 사이의 문’을 통해 으시시성에 진입하면 일어나는 일 두번째 문인 칠죄종의 유혹들을 이겨내고, ‘분노와 질투 사이’로 들어가게 된다면(아주 어려운 일일 것이다), 두려움의 망각에 빠지게 된다. 이것은 ‘깨슈타인의 거울’로 들어가는 것 보다 더욱 지독한 일이다. 이 곳 역시 망각의 환상을 탐험자에게 보여준다. 이 환상은 탐험자가 가장 두려워하는 상황으로 인도하여, 탐험자의 트라우마를 계속해서 자극한다. 이 망각에서 빠져나가는 방법은 단 하나인데, 그것은 탐험자의 가장 큰 두려움을 스스로 마주하는 것. 두려운 상황을 맞이했을 때, 두려움을 정면으로 응시하라. 올곧게 두려움을 맞이하는 순간 어느새 깨슈타인 거울 앞에 비춰지는 자신의 모습을 볼 수 있을 것이다. 으시시성과 ‘원만부의 키’ 이곳에서 벗어나기 위해 그 작고 보잘것없는 키하나에 의존한 채 잘 빠져 나왔다면, 마침내 당신의 손엔 원만부의 키가 쥐어져 있을것이다. 빠져 나온다 하더라도, 원만부의 키가 손에 쥐어져있지 않다면, 빠져나온 세상은 불분명하다. 몇몇의 허수깨비들은 이곳을 다녀와서 원만부의 키를 얻었다고 생각했지만, 그것은 진짜 키가 아니였다고 한다. 끝까지 의심하라. 키를 가지고 있는 현실이 아직 망상인지, 가지고 있는 키가 가짜인지, 다녀왔다는 사실 자체가 거짓인지. 끝까지 자신의 내면을 응시하라.",성,,으시시,초대형,SS,https://discord.com/channels/1283684660190249030/1284093075668340867
,JD3,J,DOKKEBI_249,어둑시니,자유자재로 늘어나는 몸의 크기 / -,"기둥인척 하고 떡하니 으시시성의 정문을 막고있는 이 시뻘건 도깨비는, 놀라는 비명을 들으면 무한정 커진다. 반대로 비명이 들리지 않으면 작아져 소멸하게 되는 요괴다. 이 거대한 도깨비가 으시시의 정문을 막고 있으며, 단두오름에서 매번 굴러 떨어지는 참수당한 머리들이 이 기둥에 부딫혀 내는 비명을  먹고 살아, 수년째 작아진적이 없는 도깨비이다. 기둥 앞에서 크게 비명을 질러 어둑시니가 커지면, 의시시 성의 뚜껑을 열어 재낄수 있지는 않을까?",도깨비,,으시시,소형~초대형,S,https://discord.com/channels/1283684660190249030/1284093111005610084
,KD1,K,DOKKEBI_250,깨슈타인타워,미러린 / -,"깨슈타인타워는 과거 저명한 과학자였다. 도깨비 왕국을 사랑하는 그는, 남매전쟁이후, 시기적으로 혼란스러운 틈을타 그는 삼몽령의 그림자, 으시시성 속 잘린 머리들이 키워내는 잡념이 함께 사는 몇몇의 털복숭이에게 전염되는 것을 보고 우려하였다. 그는 인간의 거울을 통해 스스로의 추한모습을 자각하는 순간, 거울속에 갖힌다는 전설을 참고해 위대한 발명을 하게된다. 혼탁해진 세계를 바로잡기위해 자신의 작은 몸을 ‘인간의 거울파편’으로 거대하게 개조하여, 전염된 도깨비들의 잡념을 영원한 고통의 방 ’미러린‘에 가두었다. (거울은 밖을 투명하게 비추고 세상을 다 담을수 있지만, 정작 자기속은 하나 투명하지 못하게 볼수가 없는 존재로다.) 전염되는 잡념을 수거하다보니, 그는 잡념 자체를 도깨비를 병들게 하는 요소로 인식했는지, 그의 초기 목적은 전치되어 세상의 모든 잡념을 청소하고픈 결벽에 빠진다. 미치에 살고있던 호전적이며 강한 숭이깨비 종족들은 전염이 되지 않았음에도 불구하고, 미러린 앞에서 ‘잡념’을 빼앗긴다. 도깨비들의 상상력과 온갓 장난질의 원천인 잡념을 뺴앗긴 그들은 온화한 미소만 띈채 마을을 어슬렁 거릴뿐.. 그의 거울방엔 더이상 잡념을 구겨 넣을 공간이 부족했고, 시종일관 윽걸 거리는 소리에 깨슈타인은 전염되어 육체를 지배당한다. 그의 천재적인 머리에 잡념이 들자, 그는 자신의 거울몸을 푸근하고 푹신한 털로 위장하고, 털복숭이 우두머리 세마리를 골라 ’도깨비‘글자에 모음을 뜯어 얼굴에 입힌다. 그렇게 인간 언어 패치가된 털복숭이 세마리는, 방문자를 환대하는 역할과 털복숭이 부족을 관리하는 사도로서의 의무를 부여받게된다. 깨슈타인 타워의 엉덩이쪽에 위치한 보슬보슬한 털 안쪽을 자세히 살펴보면, 차가운 반사체를 확인할 수 있을것이다. 반사되어 보이는 것은 물리적으로 맞은편에 있지만 육안으로는 볼 수 없는 ‘으시시의 옆문’인데… 이곳에서 윽걸 윽걸 소리가 미세하게 들린다. 깨슈타인 타워의 평화주의적인 면모와 상반되게 그의 마음속 상에 비추어진 으시시의 존재는 무엇을 뜻하는가? 이 세상의 매드 사이언티스트 ‘ 깨슈타인’ 그의 검은 속내가 궁금하다…!",성,도깨비,미치,초대형,SS,https://discord.com/channels/1283684660190249030/1284093245906878527
,KD2,K,DOKKEBI_251,으시시 옆문,으시시로 통하는 문 / -,"깨슈타인 타워의 엉덩이쪽에 위치한 보슬보슬한 털 안쪽을 자세히 살펴보면, 차가운 반사체를 확인할 수 있을것이다. 반사되어 보이는 것은 물리적으로 맞은편에 있지만 육안으로는 볼 수 없는 ‘으시시의 옆문’인데… 이곳에서 윽걸 윽걸 소리가 미세하게 들린다. 오직 깨슈타인 속의 거울을 통해서만 이 문으로 진입가능하다.",도깨비,,미치와 으시시의 경계,대형,S,https://discord.com/channels/1283684660190249030/1284093268593999903
,KD3,K,DOKKEBI_252,집씨,- / 인간의 유리조각,"깨슈타인타워의 주변을 맴돌다 진실을 알아버려 미쳐버린 집씨. 인간의 유리조각 한장을 가지고 다니며, 새하얗게 질린 얼굴과 털이 바짝 선 상태로 유리속 마주했던 모습들에 대해 떠들고 다니는 듯 하다. ‘돌아가지 못하는 망령이야‘ 같은 알수 없는 혼잣말을 지껄이는 그를 마을 사람들은 동정할 뿐. 누구도 귀를 기울이지 않는 듯 하다.",도깨비,털복숭이 종족,미치,소형,D,https://discord.com/channels/1283684660190249030/1284093290915823616
,KD4,K,DOKKEBI_253,보터링,깨슈타인의 진실 / 인간의 유리조각,"어린 털복숭이 ‘보터링’은 빠른 발로 으시시 주변을 맴돌다’집씨(KD3)’의 빨간손에 꼭 쥐고있던 ‘인간의 유리조각’ 한점을 발견한다. 이상하고 불편한데 자꾸 보게되는 그 유리조각 한장의 기운을 알게 되자, 평온하게만 생각했던 이 마을에 비슷한 음기가 맴도는 것을 깨닫는다. 깨슈타인 아래 지하굴에서 윽걸! 소리가 들려오자 유리조각은 윽걸 윽걸 소리를 쳤다. 그는 지하굴로(뱃속) 들어갔고, 털로 뒤덮힌 그의 중심부에서 윽걸거리는 반사체 더미를 발견하고 깨슈타인의 정체를 알게된다. 급박한 마음에 마을 사람들에게 알리지만 평온함에 익숙한 그들은 언제나 그럿듯 웃어넘긴다.",도깨비,털복숭이 종족,미치,소형,E,https://discord.com/channels/1283684660190249030/1284093311380099082
,KD5,K,DOKKEBI_254,존프르숭이,"기타 연주 / 푸른 기타, 홍색 작은 방망이",미치’로 이주한 숭이깨비. 갈등을 좋아하는 본성을 죽이고 털복숭이 종족 사이에서 살다보니 요령을 터득했다. 알고보니 기타 연주를 기가막히게 하는 능력이 있었던것. 그의 기타는 어딘지 자유롭고 울림이 있다. 하지만 아직 모두를 믿지 못하기에 한손에는 방망이를 들고 다닌다.,도깨비,숭이깨비 종족,미치,소형,C,https://discord.com/channels/1283684660190249030/1284093569791168544
,KD6,K,DOKKEBI_255,난파 숭이깨비,,"본래 앵두깨비의 최고 심복 중 하나였던 난파 숭이깨비는 끈끈한 전우들을 뒤로하고 왜인지 ‘미치’에 거주 중이다. 본인에 이야기에 따르면, 앵두깨비와 다투며 발톱이 다 뽑힌 그는 노년을 평화롭게 살고자 호이스트를 떠나 미치로 이주를 했다고 한다. 하지만 왜 그는 독기가 빠지지 않고 늘 경계하는 모습일까?",도깨비,숭이깨비 종족,미치,중형,A,https://discord.com/channels/1283684660190249030/1284093594801799278
,KD7,K,DOKKEBI_256,고주망태 숭이깨비,,"언제나 취해서 얼굴이 달아올라 있는 숭이깨비. 매서운 눈매는 종 특이기 때문에 어찌할 수 없지만, ‘미치’ 에서 살고있는 그는 어찌저찌 잘 적응해서 행복하게 지내고 있는듯 하다. 언제나 취해있지만 행패를 부리지는 않고 행복하게 돌아다니기만 한다.",도깨비,숭이깨비 종족,미치,중형,B,https://discord.com/channels/1283684660190249030/1284093627165048926
,KD8,K,DOKKEBI_257,암낫데어 숭이 (복면 숭이깨비),만능 색소,"난파 숭이깨비(KD6)’의 오른팔. 재빠르고 똑똑하다. 섬세하고 갈라진 근육이 돋보이는 두 다리로 안개처럼 조용하고 번개처럼 빠르게 움직일수 있으며, 파란 복면 외에 피부색을 배경에 맞출 수 있는 만능 색소를 가지고 있어 잠복에 능하다. 수북한 턱수염 아래 엄청나게 부드럽고 큰 입술을 가지고 잇는데, 보기 어렵지만, 미소가 아름다운 도깨비다. ‘난파 숭이깨비’를 따라서 ‘미치’에 이주하여 전쟁없는 유유자적한 삶을 꿈꾸며, 근래 싱글벙글 미소를 들어내곤 했었는데,  깨슈타인의 부름을 받은 뒤로 다시 미소를 감췄다. 동화같은 배경에 숨어 있는듯 없는듯 정말 유유자적한 삶을 실천하며, 주변 도깨비들을 감시하고 지낸다.",도깨비,숭이깨비 종족,미치,중형,B,https://discord.com/channels/1283684660190249030/1284093657527484437
,KD9,K,DOKKEBI_258,동구미,,동구미’는 모든 털복숭이들의 애완 도깨비이다. 뭐든지 개걸스럽게 먹어치워 복스러움에 사랑받는 존재. ‘미치’ 지역의 마스코트이다.,도깨비,,미치,중형,C,https://discord.com/channels/1283684660190249030/1284093676863356984
,KD10,K,DOKKEBI_259,끄라띠와 꼬라삐,,"평화로운 마을 ‘미치’에서 나고 자란 성심이 고운 털복숭이 자매. 노랗고 크고 밝고 명랑한 성격의 ‘끄라띠’는 동생이고, 그 뒤에서 늘 수줍게 있는 작은 도깨비가 ‘꼬라삐’이다.",도깨비,털복숭이 종족,미치,"중형, 소형",B,https://discord.com/channels/1283684660190249030/1284093711143276586
,KD11,K,DOKKEBI_260,키루,,"미치’에 사는 말썽쟁이 세 혼령 ‘키루’, ‘시루’, ‘자루’ 중 첫째. 이들은 순수하고 착한 털복숭이 종족을 놀리는 낙으로 사는데, 사실 그들의 선함을 동경하고 있다. 놀리는 맛이 좋은 ‘울빠미 (KD15)’를 놀리는 것을 가장 좋아한다.",영혼,,미치,중형,B,https://discord.com/channels/1283684660190249030/1284093729023459380
,KD12,K,DOKKEBI_261,시루,,"미치’에 사는 말썽쟁이 세 혼령 ‘키루’, ‘시루’, ‘자루’ 중 둘째. 형인 ‘키루’ 보다는 더 와일드하고 감정적인 성격이다. 자주 욱하기도 하지만 본성은 선량한 편. 세 형제중 시루만 으시시성에 뿌리를 내리고 있는 어둑시니 (JD3)의 복제 영혼으로 알려져있다. 눈만 멀끔히 뜨고있는 어둑시니의 아바타 같달까, 정확하진 않지만 무언가 설명할 수 없는 둘만의 상호작용을 나누고 있는듯 하다.",영혼,,미치,중형,B,https://discord.com/channels/1283684660190249030/1284093752704766004
,KD13,K,DOKKEBI_262,지루,,"미치’에 사는 말썽쟁이 세 혼령 ‘키루’, ‘시루’, ‘자루’ 중 막째. 매일 ‘울빠미(KD15)’를 형따라 놀리지만, 눈물 많은 그녀석을 꽉 안아주고 싶다. 육신을 갖고 그녀석 앞에 당당히 서고싶다.",영혼,,미치,중형,C,https://discord.com/channels/1283684660190249030/1284093776196796487
,KD14,K,DOKKEBI_263,"도리, 스리, 신",,"거대한 ‘깨슈타인 타워’를 동경하는 털복숭이 ‘도리’와 ‘스리’ 사이에는 귀여운 딸, ‘신’이 있다.",도깨비,털복숭이 종족,미치,"중형, 중형, 소형",B,https://discord.com/channels/1283684660190249030/1284093812125335675
,KD15,K,DOKKEBI_264,울빠미,,"다들 웃고 사는 이지역에 혼자만 통곡하고 사는 녀석. 툭하면 울음을 터뜨리는 유약한 마음의 털복숭이 ‘울빠미’. 언제나 그렁그렁한 눈을 하며 놀림 받고 다닌다. 그녀가 목 내어 울기 시작하면, 그녀의 눈물 맺힌 눈에만 도깨비들이 일렁거리는 것이 아니라, 실제 우는 소리에 마을 주민들의 형태가 일그러진다. 하지만 이녀석은 정신을 놓고 우느라 땅을 찌그러 뜨릴만한 힘이 본인에게 존재 한다는 사실을 모른다.",도깨비,털복숭이 종족,미치,중형,A,https://discord.com/channels/1283684660190249030/1284093840839675924
,KD16,K,DOKKEBI_265,크라요숭이,,"미치’로 이주한 숭이깨비 중 가장 인기가 있는 리더. 오랜 전장에서 발현되었던 사나운 아우라를 누르고, 미치 마을 이주에 완전히 성공한 이들은 이름도 새롭게 부여 받는다. 보통은 ㅇㅇㅇ숭이깨비 이런 식인데, 이러한 이들은 자연스러운 이름에 숭이가 붙는 방식. 앵두깨비처럼 멋진 장화를 신고, 날카로운 발톱을 숨긴 크라요숭이의 세련미 넘치는 모습에 남녀노소를 불문하고 모두가 그에게 열광한다. 이지역의 아이돌 되시겠다.",도깨비,숭이깨비 종족,미치,중형,A,https://discord.com/channels/1283684660190249030/1284093878324170843
,KD17,K,DOKKEBI_266,오라이드숭이,,크라요숭이(KD16)’의 심복. ‘크라요숭이’가 오른쪽을 맡으면 센스있게 왼쪽을 본인이 맡는 식이다. 그의 짧은 다리를 감춰주던 멋진 부츠를 밤새 누군가에게 도둑 맞은 상태.,도깨비,숭이깨비 종족,미치,중형,C,https://discord.com/channels/1283684660190249030/1284093899111006238
,KD18,K,DOKKEBI_267,빌리,," ‘동구미(KD9)’의 베스트 프랜드이자, ‘미치’의 또다른 공동 애완 동물. 달팽이 처럼 움직인다. 조금 잔인하게 들릴지 모르겠지만, 모든걸 먹어치우는 ‘동구미(KD9)’가 ‘빌리’의 한쪽 눈을 먹어버렸다. 아직까지도 둘은 여전히 둘도 없는 친구이다. 눈을 몸의 다섯개 꼭지중 어디서도 틔울 수 있어 크게 문제 될 것은 없다. 아마 다른 한개의 눈도 다른 꼭지로 나오게 하여 재생할 수 있겠지만, 한눈뜨고 사는게 새롭다. 그대로 놔두고 지낸다. 아마 나중에도 재생이 가능 할 것이다.. 아마도.. 아마도 가능할 것이다.",도깨비,,미치,소형,D,https://discord.com/channels/1283684660190249030/1284094054778535967
,KD19,K,DOKKEBI_268,복숭이깨비,,"‘미치’에서 태어나 자란 유일한 숭이깨비. 미치에서 태어나고 자라 명랑하고 밝지만, 깊은곳의 이유 모를 분노를 삼키고 숨기기엔 그는 아직 너무 미성숙하다. 그는 스스로 털복숭이라고 생각하지만 눈매가 다른 이들과 확연이 다르다. 분명 숭이깨비의 피가 흐르고 있다.",도깨비,숭이깨비 종족,미치,소형,D,https://discord.com/channels/1283684660190249030/1284094081433341992
,KD20,K,DOKKEBI_269,펭퀸,"자유자재로 몸의 형태를 바꿀 수 있음 (얼굴은 그대로이기 때문에, 변신/변장 쪽이 아닌 몸의 용도가 변하는 쪽으로 이해하면 된다.) / 초록 눈물 방울","뾰족 뾰족 길쭉하게 생긴 ‘펭퀸’은 마치 ‘어드벤쳐 타임’의 ‘제이크’처럼 육신은 있지만 그 육신을 마음대로 늘였다 줄였다 할 수 있는 신비한 힘을 가졌다. 이를테면, ‘어둑시니(JD3)’와 비슷한 능력인데, 육신을 가졌지만 영혼의 매커니즘을 이해하기 때문에 가질 수 있는 능력으로 예상된다. ‘어둑시니’가 영혼의 어두운 면을 순수하게 받아들이고 이해하여 몸의 크기를 조절 할 수 있다면, ‘펭퀸’은 영혼의 맑고 순수한 면을 그대로 받아들여 몸의 형태를 조절 할 수 있는 것이다. 하지만 ‘펭퀸’은 의지에 의해 이러한 능력을 얻었다기 보다는, 본인도 모르게 얻게 된 능력이기 때문에 그 기저를 알지 못한다. 이러한 능력을 발휘할때는 꼭 오른쪽 눈을 윙크하면서 왼쪽 눈에서 초록 눈물 방울이 나온다.",도깨비,털복숭이 종족,미치,대형,S,https://discord.com/channels/1283684660190249030/1284094120310210581
,KD21,K,DOKKEBI_270,스타더스트,현자의 지혜 / -,"스타더스트’는 ‘미치의 두 현자’ 중 한명이다. 아주 오래전부터 이 마을에 살았으며, 세상의 이치와 마을의 모든것을 알고있다. 뭔가 해탈한듯 보이는 그는 아무말을 하지 않고 허공을 응시하며 헤벌레 웃고만 서있다.",도깨비,털복숭이 종족,미치,소형,A,https://discord.com/channels/1283684660190249030/1284094142426648586
,KD22,K,DOKKEBI_271,혹부리 숭이깨비,폭력성 응축 / 화 저장소,"이 녀석은 ‘미치’에 이주를 하면서 숭이깨비 특유의 험악하고 날카로운 폭력성을 내려놓으려 노력하였다. 하지만 본성을 바꾸는 것은 매우 어려운 일, 뜻대로 되지 않자 본인만의 방법을 터득하였는데, 그것은 ‘화 저장소’를 만드는 것이였다. 볼 끝에 ‘화 저장소’를 만들어 폭력성을 저장시켰는데, 이것이 쌓이고 쌓이다보니 그만 무게가 본인의 몸만큼 무거워져버린 것이다. 요즘 그는 혹처럼 생긴 ‘화 저장소’를 질질 끌면서 다니는 처지가 되었다.",도깨비,숭이깨비 종족,미치,소형,C,https://discord.com/channels/1283684660190249030/1284094185032515594
,KD23,K,DOKKEBI_272,스피리스트와 스피,대현자 / -,"이 지역 현자들은 전부 말이 없다. 미치의 두 현자’ 중 다른 한명인 ‘스피리스트’는 어째서인지 얼굴이 돌이 되었다. 사실상 ‘스타더스트(KD21)’보다 더 우위에 있는 일인자 였던 그는 이제 얼굴이 돌이되어 아무런 말도 하지 않는 망부석과 같은 존재가 되었다. 분홍 살점 한조각이 땅에 떨어지면서, 조그마한 털복숭이 ‘스피’가 탄생했다. 이 조그마한 친구는 아무런 말없이 그의 수발을 든다. 이 녀석이 다 자라고 나면, 스피리스트의 마음을 대변해 줄 수 있을까.",도깨비,털복숭이 종족,미치,"대형, 소형",S,https://discord.com/channels/1283684660190249030/1284094275310850111
,KD24,K,DOKKEBI_273,"소비, 더비, 러비",환각 가루,"소비’, ‘더비’, ‘러비’ 는 가족이다. 보통 털복숭이 종족은 가족들끼리 한몸처럼 모여 사는데, 이들은 ‘더비’가 아빠이고, 딸인 ‘소비’ 아들인 ‘러비’가 구성원이다. 바르르 떨며 환각 가루를 만들어내는 이 가족은 ‘어서오세요. 반갑습니다’ 같은 인간어를 어눌하게 구사하여 방문자를 환영하고 있는데, 방문자들은 그들의 친절에 감탄하기 보다 무언가 꺼림칙한 기류를 느끼곤 한다.",도깨비,털복숭이 종족,미치,"소형, 중형, 소형",D,https://discord.com/channels/1283684660190249030/1284094301046837309
,KD25,K,DOKKEBI_274,"카이악, 마이악, 치수, 피수",,"사랑이 넘치는 금슬좋은 부부 카이악(가운데 제일 큰)과 마이악(왼쪽), 그리고 그들의 귀여운 딸들 치수(왼쪽), 피수(오른쪽). 이들은 ‘미치’에서 행복하게 평화주의자로 지내는 전형적인 털복숭이 가족이다. 가족 구성원의 행복 지수가 올라갈 수록 카이악의 몸채는 점점 커진다. 이들 또한 ‘어서오세요. 반갑습니다’ 같은 인간어를 어눌하게 구사하여 방문자를 환영하고 있는데, 방문자들은 그들의 친절에 감탄하기 보다 무언가 꺼림칙한 기류를 느끼곤 한다.",도깨비,털복숭이 종족,미치,"중형, 대형, 소형, 소형",B,https://discord.com/channels/1283684660190249030/1284094350464389170
,KD26,K,DOKKEBI_275,칰과 팍씨 숭이깨비,NUS 36 (탐욕 +3),"탐욕만 강한 칰과 팍씨’는 작은 숭이깨비들로, 원래 살던 지역인 ‘호이스트’ 에서는 힘을 발휘 못하고 치여살다가, ‘봉당’에서 악력이 높은 ‘NUS’를 얻게되면 본인들의 수하로 엄청난 녀석을 가질 수도 있겠다는 꿈을 품고, 용캐 ‘깨뽀’의 눈을 피해 ‘NUS36’을 훔치는데 성공한다.(엉뚱하게 악력이 아닌 탐욕의 알을 가져왔다.) 본래 지역인 ‘호이스트’에 가면 빼앗길 것을 우려하여 ‘미치’에 이주하여 ‘칰’의 오른쪽 뺨에 혹이 난 것처럼 알을 엉성하게 매달고 위장한 채 살고있다. 이들은 알이 깨어나는 날을 고대하며 지키느라 되려 본토에 있었을 때보다, 숭이깨비 특유의 사나운 폼이 한것 더 올라왔다. 어쩌면, 알 없이도 그들은 이미 강해졌을지 모른다. 숭이깨비의 사나운 본성이 금기시 되는 이땅에서 이들의 운명은 어찌 될지, 응원해본다.’",도깨비,숭이깨비 종족,미치,"소형, 소형",D,https://discord.com/channels/1283684660190249030/1284094379681648671
,KD27,K,DOKKEBI_276,"쏘오, 모리, 매오",,"‘쏘오’’와 ‘매오’는 아직 머리가 돌로 굳지 않은 털복숭이 ‘모리’를 만나게 된다. ‘모리’를 들고 이곳저곳을 돌아다니며 ‘모리’가 공명하는 것이 무엇인지 자석 가져다 대듯 여기저기 다 가져다 대본다. 지쳐서 도깨비 공원의 돌 의자에 앉아 있는데, 마침내 그 의자와 ‘모리’가 공명하여 한 몸이 되었다. ‘쏘오’와 ‘매오’는 ‘모리’를 마치 둘의 사랑의 결실인듯 자식처럼 애지중지 키우며 살아가고 있다.",도깨비,털복숭이 종족,미치,"소형, 중형, 소형",C,https://discord.com/channels/1283684660190249030/1284094517292699738
